,combinedPval,adjustedPval,cluster
HSPB1,2.29574576977625e-34,4.00253325441663e-31,1
MYOZ2,2.73992422830163e-34,4.70669004153452e-31,1
HDGF,5.39729113436315e-34,9.13719120365674e-31,7
EEF1D,5.58317593559012e-34,9.31685276299822e-31,3
REEP1,5.70739654177836e-34,9.39000141846426e-31,1
ATP5MC3,6.41832138806555e-34,1.04129773173433e-30,5
EEF1B2,7.60277024453468e-34,1.21656401164102e-30,3
SEC61G,1.16913893592062e-33,1.84552682960635e-30,3
ENSGALG00000042611,1.22531350082242e-33,1.90841101317336e-30,6
KRT7,1.54574252494293e-33,2.37579804991435e-30,8
GHITM,3.58411073496711e-33,5.43721683422442e-30,5
SEM1,3.69758036686861e-33,5.53743929574677e-30,7
NEXN,4.06468369005339e-33,6.01015430700252e-30,1
CRIP1,4.55877207019653e-33,6.65646803308202e-30,3
ENSGALG00000007699,5.52211058530428e-33,7.96353768351749e-30,3
CFC1,5.62698517486104e-33,8.0158185436757e-30,8
CNMD,5.80048663861974e-33,8.16342293399866e-30,3
NDUFA4,6.36025664628522e-33,8.84466347229915e-30,5
ITGB1BP3,1.21577513741793e-32,1.67078393567905e-29,1
VCAN,1.49114785852654e-32,2.02538792628392e-29,1
PPIA,2.13937958213222e-32,2.87246372484224e-29,3
TMEM158,2.83454464751127e-32,3.76258732993126e-29,1
PITX2,5.16356575072766e-32,6.77712761681037e-29,2
COX7C,5.33753314857482e-32,6.92761963712494e-29,5
DBI,5.97693202908602e-32,7.67225243121371e-29,3
PKM,7.84963019740394e-32,9.85943907153686e-29,7
HMGN4,7.81706405489431e-32,9.85943907153686e-29,7
EIF1,1.03768963863448e-31,1.28951258663343e-28,3
COII,1.05818443162125e-31,1.30113908029454e-28,1
FBLN1,1.09272781033401e-31,1.32961749829899e-28,8
GPI,1.40794990953574e-31,1.69551419000683e-28,2
SEC61B,1.65834267869407e-31,1.97666995403853e-28,3
S100A11,2.30331517230344e-31,2.71771638422307e-28,3
COX3,2.88115002732188e-31,3.36551733845377e-28,1
PRDX3,3.30318752761993e-31,3.82030304900855e-28,5
ENSGALG00000053871,3.57000993974097e-31,4.08841725329354e-28,7
VIM,4.02263420725482e-31,4.56204197130375e-28,3
ACADSB,4.08020477709992e-31,4.5828387808392e-28,2
NDUFB4,4.41818348766172e-31,4.91519110381314e-28,5
ENSGALG00000015271,4.82097731740333e-31,5.3126986427233e-28,3
FABP7,4.87835206126281e-31,5.32568309855779e-28,3
FTH1,5.50137932651116e-31,5.95023056418676e-28,3
SERP1,1.58780370336328e-30,1.70159527694177e-27,3
GNB2L1,1.61721698998288e-30,1.71736089226231e-27,3
COL1A1,1.68299569869021e-30,1.77111183887314e-27,3
CPE,1.85225136232493e-30,1.93182534254809e-27,3
NME2,1.97188995540713e-30,2.03840365841885e-27,3
ENO1,2.0290174241859e-30,2.07905933527582e-27,2
H3F3B,2.47022064573927e-30,2.50913405930289e-27,3
ACTB,2.74832463059744e-30,2.76755333815524e-27,3
FRZB,2.77881737115001e-30,2.77434267457471e-27,3
MYL12A,2.88044720594572e-30,2.85143759456373e-27,7
FGF13,2.9841799615247e-30,2.929301049793e-27,2
FXYD6,4.03808878350805e-30,3.93079663972023e-27,2
TPM4,5.07039854979573e-30,4.8948871771347e-27,5
ACTG2,6.02072982257999e-30,5.76468083125002e-27,5
TNNC1,6.08169844923097e-30,5.77571466679085e-27,1
COX7A2,7.60166590067394e-30,7.16098974458643e-27,7
ENSGALG00000043329,8.91986918978403e-30,8.33555327012589e-27,3
RBM24,1.11634569920196e-29,1.03493748520947e-26,1
ID1,1.30214185498739e-29,1.19767928093247e-26,3
HYPK,2.00925855116848e-29,1.8336304587763e-26,7
SNRPE,2.12217563960618e-29,1.92166452769231e-26,7
NAP1L1,2.14775455085893e-29,1.92986644251637e-26,3
EEF1A2,2.87197035626628e-29,2.56091176958737e-26,1
OTUB1,2.90575058620524e-29,2.57140427574389e-26,7
LBH,4.27831088035197e-29,3.75756634107625e-26,1
ATP5PD,4.41731067066923e-29,3.85069485637475e-26,5
ATP5ME,5.02447831592221e-29,4.31556862215056e-26,5
UQCRH,4.99262969107541e-29,4.31556862215056e-26,5
VDAC2,5.48611954457644e-29,4.67768161638922e-26,5
MRPS6,5.55143795324852e-29,4.69907484803984e-26,3
ARL4C,5.69604519303305e-29,4.78679231326595e-26,2
ENSGALG00000013239,8.40845233679075e-29,7.01574814141044e-26,1
ACKR3,9.68565113809848e-29,8.02408773446236e-26,3
ACBD7,1.09162608855178e-28,8.97990041948255e-26,3
PGAM1,1.26622365440607e-28,1.03433291141691e-25,7
ACTG1,1.46341133161461e-28,1.18710703941852e-25,3
PPIB,1.66772238235463e-28,1.34351250795243e-25,3
MPC2,1.8416062662723e-28,1.47343128563567e-25,5
COX4I2,2.50043016264573e-28,1.9869335966861e-25,5
ATP5MF,2.74791287681474e-28,2.16883844330656e-25,5
DSTN,2.85320457788575e-28,2.23682806233338e-25,3
ENSGALG00000000629,4.17359934588491e-28,3.25016534581308e-25,5
DERA,5.17770259034464e-28,4.00540201786949e-25,5
PFDN1,5.30658636235302e-28,4.07809752528026e-25,1
SERBP1,5.49173676122245e-28,4.19280089861735e-25,3
UBB,6.7087878226888e-28,5.08872866718193e-25,3
PGK1,7.15687473537733e-28,5.39358685351147e-25,7
GJA5,7.74629222759507e-28,5.8003638489877e-25,1
EMILIN2,9.18764324636993e-28,6.83581703032392e-25,5
HSP90AB1,9.39593997222514e-28,6.85971716756372e-25,7
ACTA1,9.32615303218702e-28,6.85971716756372e-25,5
ENSGALG00000036956,9.36861223272656e-28,6.85971716756372e-25,1
RD3L,1.25527882065383e-27,9.10752315719751e-25,1
ZNF593,1.40568580013945e-27,1.0135827296167e-24,3
ADCYAP1,1.4813378767544e-27,1.06157939895723e-24,5
ENSGALG00000030086,1.68582820198482e-27,1.20075782528209e-24,7
PFDN6,1.82917191465693e-27,1.29496055298044e-24,7
SLC25A3,1.93098320616778e-27,1.35880259472052e-24,5
ATF4,2.11761677946048e-27,1.4723940258418e-24,7
EEF2,2.11674071604914e-27,1.4723940258418e-24,3
HNRNPA1,2.25305241599841e-27,1.55729378248585e-24,3
CSRP1,2.46245073031038e-27,1.69201647409139e-24,1
PTX3,2.48616703889665e-27,1.69832245882824e-24,3
MFAP2,2.90133000888435e-27,1.97040110293496e-24,3
BTF3,3.4198123464014e-27,2.30909675837501e-24,7
TPI1,3.78431509097104e-27,2.54052808416387e-24,5
HADH,4.62925335188767e-27,3.09000270668309e-24,5
RAP1GDS1,4.74611678103399e-27,3.15000839418276e-24,11
EIF4A2,5.01987219246059e-27,3.31287731061136e-24,3
PFN1,5.10003092425494e-27,3.34686940109984e-24,7
PEBP1,5.54401934004532e-27,3.617909212173e-24,5
HSPE1,5.95398664270912e-27,3.8638593557236e-24,5
TUBA1A,6.25168049923821e-27,4.03463413600795e-24,3
EDNRA,6.53857622798781e-27,4.19660179484481e-24,1
DPYSL3,6.62871202081584e-27,4.2312045492074e-24,3
MSX1,7.52367792585018e-27,4.77637406792418e-24,3
GSTM3,8.70894661789163e-27,5.4989511159415e-24,10
SDK1,1.0556032288897e-26,6.6293923772343e-24,2
CDH2,1.15223280037583e-26,7.19754827330322e-24,1
SBSPON,1.20559158194383e-26,7.49080197669532e-24,1
TNNI1,1.86355055799486e-26,1.15176886480633e-23,1
TXNDC17,1.94302415812972e-26,1.19456712391127e-23,7
S100A1,1.96070808968921e-26,1.19912796762988e-23,1
MND1,2.61870885734727e-26,1.59320605129251e-23,3
ENSGALG00000034288,3.67936725770315e-26,2.21627545653313e-23,1
URM1,3.68077701375004e-26,2.21627545653313e-23,3
ATP5MC1,4.31117767297464e-26,2.58254126089416e-23,5
LRRC73,5.2187914575087e-26,3.11028245337508e-23,2
ENSGALG00000009250,6.83462709234245e-26,4.05260761781907e-23,3
EIF3H,1.06099863620889e-25,6.25540551673227e-23,3
ATP5MPL,1.0656696230128e-25,6.25540551673227e-23,5
MDK,1.11994103154078e-25,6.54110498230437e-23,3
GAPDH,1.30940873037101e-25,7.5719863362392e-23,2
SH3BGRL3,1.30312495325825e-25,7.5719863362392e-23,4
ENSGALG00000035994,1.47525657929542e-25,8.48901852050856e-23,4
PRDX1,1.50245900024503e-25,8.60316834217784e-23,7
LY6E,1.57205893519257e-25,8.95779091138539e-23,11
ENSGALG00000003348,2.18290921467456e-25,1.23781121322576e-22,7
UBA52,2.46994008012788e-25,1.39380504107682e-22,3
CIRBP,2.91443053940739e-25,1.63672732493975e-22,7
BTG1,3.133681108812e-25,1.75029701168489e-22,2
ENSGALG00000053371,3.14662571289673e-25,1.75029701168489e-22,4
ENSGALG00000051598,3.56941120262582e-25,1.97605981231167e-22,3
C1H12ORF57,3.84861907742936e-25,2.12058178278578e-22,1
ND3,4.43968281953306e-25,2.4347720055186e-22,1
NPM1,5.3886364273816e-25,2.94137954632883e-22,3
ENSGALG00000046914,5.54517549183983e-25,3.01274791123553e-22,3
TOMM20,6.79364073630452e-25,3.67396305108988e-22,5
LTBP2,6.97402904081234e-25,3.75413578265991e-22,3
ENSGALG00000051266,7.09021466446101e-25,3.799171068815e-22,5
YBX1,7.26402088794185e-25,3.87452911146932e-22,3
DKK3,7.63981047139132e-25,4.03809256345724e-22,3
PSMB4,7.61333733987621e-25,4.03809256345724e-22,7
MYL2,9.2478926673329e-25,4.86604101260878e-22,5
SRSF3,9.81089783892349e-25,5.13913290409303e-22,7
ATP5A1Z,1.00247092193296e-24,5.22768877796055e-22,5
EIF3B,1.01553787065916e-24,5.27229332291899e-22,2
ATP5F1B,1.07059352460233e-24,5.53352825608961e-22,5
NDUFA12,1.12127268324993e-24,5.76994061708974e-22,5
ADD3,1.1390261488463e-24,5.83559046771696e-22,2
HSPA8,1.14906138564927e-24,5.86129671153096e-22,7
COX7B,1.28817803546498e-24,6.54235359259524e-22,5
GSN,1.35855108720489e-24,6.86989269001299e-22,3
NDUFV3,1.39337800684217e-24,7.01563401793231e-22,5
RCSD1,1.43866527134517e-24,7.21256596026949e-22,1
ATP5PF,1.58932476117128e-24,7.93382745201952e-22,5
NRN1L,1.60246590877121e-24,7.96538726831919e-22,1
ANGPTL1,1.80887868068599e-24,8.93011902996066e-22,3
ARPC5,1.81183913010478e-24,8.93011902996066e-22,3
SUB1,1.87034751997223e-24,9.14135060363604e-22,7
UQCRQ,1.86356906130761e-24,9.14135060363604e-22,5
CHGB,2.11306423347904e-24,1.02846002574226e-21,7
C5H14orf166,2.82520778209213e-24,1.36936527336094e-21,5
SPARC,2.93398460220285e-24,1.41621249949e-21,3
TNNT2,3.42026737313379e-24,1.6441435868224e-21,1
CLC2DL3,3.8060167023458e-24,1.82207740373478e-21,6
PENK,4.84983711659837e-24,2.30657040406721e-21,3
TOMM6,4.85753416113677e-24,2.30657040406721e-21,7
HNRNPA2B1,6.73380029280654e-24,3.18455854780426e-21,7
SAP18,6.93105712342246e-24,3.26462841359357e-21,3
ZCCHC13,7.23827228999184e-24,3.39563911880717e-21,5
PSMB7,8.14837080518548e-24,3.80729680369935e-21,7
CTNNB1,8.41724500021518e-24,3.91725826632558e-21,3
SOD1,8.45970347657089e-24,3.92139471129728e-21,7
SNRPG,1.06244719643898e-23,4.90538154114439e-21,7
ENSGALG00000000604,1.09547415462204e-23,5.03795609043124e-21,1
SDCBP,1.13946105809531e-23,5.21969667088489e-21,3
COX1,1.38882206620592e-23,6.33712978584777e-21,1
NDUFA5,1.55444734096923e-23,7.06527141046473e-21,5
TRIM55,1.6754309160672e-23,7.58564960391979e-21,1
COL9A2,1.85028557893708e-23,8.34497343899185e-21,3
UQCRB,1.9075844133734e-23,8.53747051287396e-21,5
EIF3M,1.90239644807653e-23,8.53747051287396e-21,3
RBP5,2.646480824638e-23,1.17992232702112e-20,3
AQP3,2.75517312567717e-23,1.22371167630594e-20,1
MRPL33,2.88352396842289e-23,1.27586756702609e-20,7
NDUFB5,3.00556517652137e-23,1.32484855104209e-20,5
SORBS2,3.49236151309135e-23,1.53364031266734e-20,1
ARF4,3.696945543251e-23,1.61740116220266e-20,3
PCNA,4.04872122863622e-23,1.76469249871017e-20,7
DES,4.13639175575136e-23,1.7962026909826e-20,1
EIF5,4.49500911190294e-23,1.94470070260759e-20,3
COL3A1,4.56020178351689e-23,1.96562527579982e-20,8
NDUFB1,4.71123959370424e-23,2.02326256415455e-20,5
MOXD1,4.77514492726228e-23,2.04319524349619e-20,3
GNG5,5.40253737929133e-23,2.30320808502522e-20,7
NDUFB10,5.63519704106086e-23,2.39365949738449e-20,5
FAU,5.90514204342044e-23,2.49923575513457e-20,3
BMP5,6.10627317392748e-23,2.5750307466985e-20,2
EIF3E,6.35265892591616e-23,2.66929579075052e-20,3
FIBIN,6.87967014762801e-23,2.88037724695372e-20,3
NDUFB2,7.42807513336686e-23,3.09887612035069e-20,5
SNRPD3,7.78881788520855e-23,3.23780872025351e-20,7
ATP5PB,8.33598433960998e-23,3.45297743747079e-20,5
TUBB6,9.25353727290038e-23,3.81950692645202e-20,2
NPY,9.89749380164206e-23,4.0709227121488e-20,8
ENSGALG00000041812,1.02303569834538e-22,4.1930678240849e-20,5
FKBP3,1.07394542555226e-22,4.38633844364318e-20,5
OXCT1,1.07875397057246e-22,4.39062624766002e-20,5
ATP1A1,1.43349084840863e-22,5.8141789677492e-20,2
COLEC11,1.46552005063384e-22,5.90958140097549e-20,1
ITM2A,1.46713054242773e-22,5.90958140097549e-20,3
NR2F2,1.51601347342122e-22,6.08549669515543e-20,2
ADH5,1.53659582424493e-22,6.14699353027949e-20,3
CALM2,1.64791363201065e-22,6.56980962132738e-20,3
NDUFC2,1.66414355795715e-22,6.61194780484311e-20,5
TUBA1B,1.684047220128e-22,6.66834725466448e-20,7
TSPAN6,1.76581849050399e-22,6.9685161025664e-20,3
SNCAIP,2.28445405485411e-22,8.98487288892242e-20,1
WNT5A,2.39624542668481e-22,9.39292796631215e-20,1
MYL3,2.61461214285763e-22,1.02146159896012e-19,5
PHLDA2,2.635470576962e-22,1.0261784169098e-19,4
NDUFA6,2.79244145197016e-22,1.08368619120877e-19,5
ANGPTL2,2.83570233794286e-22,1.09683085000422e-19,3
S100A10,3.88875208237589e-22,1.49917933439718e-19,3
ATP1B1,3.92752212574885e-22,1.50914516110859e-19,2
PURH,4.33353738945875e-22,1.65969645917864e-19,3
ARPC4,4.64926676758307e-22,1.77479827681097e-19,3
SKP1,5.75840016518855e-22,2.19103555497763e-19,3
DDX5,6.35721472810561e-22,2.41102727387916e-19,3
MYL4,6.56891011518885e-22,2.48325202733793e-19,7
CHODL,7.08329388672836e-22,2.66906730937788e-19,3
NDUFA13,7.35401804302435e-22,2.76216908925601e-19,5
SOX9,8.28491078056704e-22,3.10183863271376e-19,3
PSMA4,8.9555339533123e-22,3.33632283636271e-19,7
ENSGALG00000040182,8.96833365762721e-22,3.33632283636271e-19,2
PMP22,9.02149033232256e-22,3.34544344965898e-19,3
CDON,9.15094435644556e-22,3.38271018305912e-19,3
GATA4,9.21831355978315e-22,3.39686410734826e-19,3
TPT1,9.72185209264764e-22,3.57114799323062e-19,3
CCDC80,1.01205109203143e-21,3.70593428176358e-19,3
NDUFB7,1.09764254410983e-21,4.00679305420009e-19,7
RAMP2,1.24425777931837e-21,4.52784228659485e-19,4
COL9A3,1.31183599873952e-21,4.75893344983802e-19,3
YWHAZ,1.3215326778928e-21,4.77926754351086e-19,3
LRRN4,1.3452583343933e-21,4.85005473655175e-19,8
TMEM258,1.45471352662274e-21,5.22853566741346e-19,7
ARF1,1.47190207970516e-21,5.2740868562708e-19,3
CA9,1.5808587818752e-21,5.64717546854788e-19,2
BSG,1.59299902894772e-21,5.67319388601903e-19,1
CTNNA3,1.61527205093592e-21,5.73503059921248e-19,1
SLC25A6,1.63369197085905e-21,5.78285354435951e-19,1
MRPS21,1.77334448813478e-21,6.25822357803325e-19,7
YWHAQ,1.7861407788894e-21,6.2843962524865e-19,1
ENSGALG00000005956,1.89892287780482e-21,6.66114752522262e-19,8
chPKCI,1.96341182646239e-21,6.86674459957287e-19,7
RSRP1,1.98847833188328e-21,6.93365158619062e-19,1
BZW1,2.07731103353899e-21,7.22184576847121e-19,3
CSTA,2.19757842133429e-21,7.61728912079385e-19,2
H3F3C,2.21353354146702e-21,7.64989308942224e-19,3
ENSGALG00000028183,2.23679368970167e-21,7.70747614949046e-19,5
MRPL51,2.36621609017674e-21,8.12945525479513e-19,7
ZNF706,2.6000254741007e-21,8.9065432852496e-19,4
NDUFB9,2.65328449201598e-21,9.06240926685929e-19,5
CALM1,2.69123143476286e-21,9.16521982166807e-19,4
ENSGALG00000004725,2.85345459137219e-21,9.6894356326197e-19,10
GFPT2,2.98972253747138e-21,1.01227322338917e-18,3
SOUL,3.20888118494659e-21,1.08333680208619e-18,2
ENSGALG00000006899,3.29417130981413e-21,1.10892625116847e-18,5
GPX3,3.43162351278069e-21,1.15187764482098e-18,8
ROMO1,3.46381537337983e-21,1.15935187112282e-18,7
TCF12,3.69153907712847e-21,1.23204163534299e-18,3
SLIRP,3.74774363430388e-21,1.24723622909554e-18,5
GLO1,3.82571548419797e-21,1.26956799052394e-18,3
RBM38,4.28672700271943e-21,1.41852528059905e-18,2
MICOS13,4.88389517877119e-21,1.61156946878606e-18,5
BRT-1,5.36396114229922e-21,1.76499398161961e-18,3
TUBB4B,5.57301013909926e-21,1.82862980475902e-18,7
CG-16,5.65853376930542e-21,1.85149121081006e-18,2
SESTD1,5.85506597575703e-21,1.91044581848436e-18,2
CHURC1,7.72609020561928e-21,2.51391902508853e-18,3
USMG5,8.0901442320744e-21,2.62506294992549e-18,5
EIF3D,8.12036791374855e-21,2.62757102070727e-18,3
PERP2,9.72187222061872e-21,3.13709230118169e-18,5
IFI27L1,9.88592404148866e-21,3.18124123442985e-18,1
CNN3,1.11206670258603e-20,3.56874414041655e-18,3
LLPH,1.18094567153052e-20,3.77940134313554e-18,7
TIMM10,1.37667164792094e-20,4.3937489825746e-18,7
C1QBP,1.39858467841027e-20,4.45152340145129e-18,7
ENY2,1.41738792429376e-20,4.49911266305342e-18,3
NREP,1.54599131589581e-20,4.8940301751176e-18,3
MRPL23,1.78203068470378e-20,5.62599591675199e-18,7
TGM2,1.85840607290658e-20,5.85130404132448e-18,2
EIF3I,2.05458038511977e-20,6.45158103478639e-18,7
NDUFS7,2.07865774599532e-20,6.50968711668635e-18,5
RPN1,2.15815916469787e-20,6.74058869193707e-18,3
RAN,2.61926705591081e-20,8.15895375769108e-18,7
CBX3,2.66671341719609e-20,8.28465561471673e-18,3
PABPC1,2.74969658018322e-20,8.51979965111813e-18,3
ACTA2,2.98709404882041e-20,9.23087894481772e-18,3
HDDC2,3.02692887381565e-20,9.32929798442686e-18,7
STRAP,3.21882932605197e-20,9.89464715169659e-18,3
ENSGALG00000051854,3.31050743523066e-20,1.01497548042671e-17,3
CDK2AP1,3.76923559148968e-20,1.1525927388451e-17,3
MDH2,3.89753617833398e-20,1.18871389711014e-17,5
MINOS1,3.92921154773711e-20,1.19525383608404e-17,5
SF3B5,3.97197334511523e-20,1.20512349835917e-17,7
TPD52,4.38494129457503e-20,1.32697407321686e-17,2
SLIT1,5.04734824143529e-20,1.52348528454448e-17,3
TUBA3E,6.30400275920935e-20,1.89788820960367e-17,7
DAD1,6.41334062954785e-20,1.92584204754633e-17,3
RBX1,7.03409341719726e-20,2.10682995005884e-17,3
SSBP1,7.24617918074387e-20,2.16480244786043e-17,7
HSBP1,7.9992567233646e-20,2.38368864030069e-17,7
TIMM13,8.10650842349799e-20,2.40950175393226e-17,5
CSRP2,8.37840171733398e-20,2.48399613951569e-17,3
SH3GLB2,8.74715643891194e-20,2.58675773832039e-17,2
UBE2I,9.54465236739372e-20,2.81546989666186e-17,3
ENSGALG00000053336,9.61723988306085e-20,2.82973587570271e-17,1
SEPT7,9.76794058559517e-20,2.86406710920402e-17,3
ENSGALG00000055073,9.78295659726619e-20,2.86406710920402e-17,2
RDH10,1.00375093642972e-19,2.93124372907397e-17,8
TOMM7,1.03542965939472e-19,3.01621424840304e-17,3
AP3S2,1.0495884084054e-19,3.04985317000954e-17,4
PEPD,1.08052947639089e-19,3.13196955277215e-17,3
PLAC9,1.13748360782948e-19,3.2888929699363e-17,8
LMO4,1.35331394256487e-19,3.89527492053496e-17,3
TPM3,1.35387381728539e-19,3.89527492053496e-17,3
PSMA7,1.71507604503939e-19,4.92237765556599e-17,7
HBM,1.74795785414835e-19,5.00445458805121e-17,8
BOK,1.79455142545132e-19,5.12529136022711e-17,3
TSPO2,2.25169536745555e-19,6.4152226886237e-17,8
AKR1B10L2,2.33077129431528e-19,6.62435804083329e-17,7
YPEL5,2.34332955356565e-19,6.64388509193983e-17,2
POLR2L,2.50931677890382e-19,7.09727115117648e-17,7
ENSGALG00000051297,2.52457919516268e-19,7.12319144323779e-17,6
HBA1,2.63481697681039e-19,7.41631751797336e-17,8
AP2M1,2.70935466195328e-19,7.60778949474211e-17,7
HSPB7,2.87422733452679e-19,8.05139287888128e-17,1
DYL1,2.96686363449754e-19,8.29100662974705e-17,7
MRPL43,3.04621167588655e-19,8.49243075180532e-17,3
NDUFA8,3.27232687182167e-19,9.10108870198762e-17,5
HMGN1,3.551498699202e-19,9.85406727504174e-17,7
ACTN2,3.6674190057154e-19,1.01515892968159e-16,1
IL1RL1,3.79375104209309e-19,1.04764566231112e-16,6
SPCS3,3.81197448808796e-19,1.05019534192025e-16,4
NDUFS8,4.13318242940013e-19,1.13600855844756e-16,5
NSA2,4.17674213878381e-19,1.14528618903121e-16,3
MRPS25,4.31895888891066e-19,1.18150932582888e-16,5
RSPO3,4.3586537346346e-19,1.1895824776226e-16,3
DDOST,4.64275844863101e-19,1.26416789179066e-16,3
EIF3G,4.84694515128335e-19,1.31669627966608e-16,3
MRPL9,4.99324044678944e-19,1.35329092170382e-16,7
HDLBP,5.23930020153539e-19,1.41669217590092e-16,3
VDAC3,5.59108581753517e-19,1.50832253890612e-16,2
ENSGALG00000036263,6.60615529063754e-19,1.77805425079659e-16,3
NEK6,6.98511215742293e-19,1.87572896869049e-16,3
COMMD2,7.17000373843548e-19,1.92096234426424e-16,3
JPT1,7.39733294857573e-19,1.97733242567338e-16,7
ENSGALG00000016826,7.56820289488586e-19,2.01838781097241e-16,1
H2AFZ,7.66188000420596e-19,2.0387162502996e-16,7
MARCKSL1,7.78064390094861e-19,2.06561235054949e-16,3
SRSF1,8.18373032808414e-19,2.16769751301297e-16,7
ERH,8.26754727129941e-19,2.18494433070572e-16,7
PFDN5,8.58323811922295e-19,2.26325450576149e-16,5
UCH-L1,8.61806818309542e-19,2.26732049867613e-16,3
UBL5,8.88018152790914e-19,2.33102961714398e-16,7
RARRES2,1.00716882347836e-18,2.63786991042719e-16,4
APOBEC2,1.02524262861041e-18,2.67919973229485e-16,1
ENSGALG00000046740,1.16483963385547e-18,3.0372048449487e-16,3
JUP,1.17955450290592e-18,3.06872259235406e-16,1
DAP,1.24959355295354e-18,3.24371150301037e-16,3
ENSGALG00000050959,1.28690185669905e-18,3.33314989248094e-16,1
EIF5B,1.35340937053746e-18,3.4976528541527e-16,11
PSMD4,1.49816236187673e-18,3.86319507712895e-16,6
CCNI,1.51755137333034e-18,3.90457265137319e-16,1
HNRNPAB,1.53588264825799e-18,3.94305283205913e-16,7
SSR1,1.5649404610146e-18,4.00884195946306e-16,3
NDFIP1,1.67057222174966e-18,4.2700701956676e-16,1
NCL,1.95115427975744e-18,4.97636345040428e-16,3
ENSGALG00000044866,2.05066698781672e-18,5.21877307860922e-16,2
SNRPC,2.22804002472576e-18,5.65784591061942e-16,7
TMEM167A,2.26145781569088e-18,5.73024940120714e-16,4
UQCRC2,2.33622961086179e-18,5.90689848803264e-16,5
